index,tourney_name,tourney_date,round,minutes,score,winner_name,loser_name,NBI,comeback,avg_set_margin,tiebreak_count,lead_changes,bp_saved_ratio,bp_total
160347,Wimbledon,20120625,SF,139.0,6-3 3-6 6-4 6-3,Roger Federer,Novak Djokovic,0.4623376623376623,0,2.75,0,2,0.7142857142857143,14.0
132456,US Open,20030825,SF,154.0,6-4 6-3 3-6 6-4,Juan Carlos Ferrero,Andre Agassi,0.46153846153846156,0,2.5,0,2,0.6153846153846154,26.0
171743,Roland Garros,20160523,SF,155.0,6-4 6-2 4-6 6-2,Andy Murray,Stan Wawrinka,0.4533333333333333,0,3.0,0,2,0.7,20.0
157930,US Open,20110829,SF,204.0,6-4 6-2 3-6 6-2,Rafael Nadal,Andy Murray,0.44835164835164837,0,3.25,0,2,0.7142857142857143,28.0
164688,Australian Open,20140113,F,141.0,6-3 6-2 3-6 6-3,Stan Wawrinka,Rafael Nadal,0.44358974358974357,0,3.25,0,2,0.6666666666666666,21.0
165978,Roland Garros,20140526,SF,154.0,6-3 6-3 3-6 6-3,Novak Djokovic,Ernests Gulbis,0.442156862745098,0,3.0,0,2,0.5882352941176471,17.0
138694,Roland Garros,20050523,SF,167.0,6-3 4-6 6-4 6-3,Rafael Nadal,Roger Federer,0.44000000000000006,0,2.5,0,2,0.4,25.0
172719,US Open,20160829,SF,152.0,6-3 6-2 3-6 6-2,Novak Djokovic,Gael Monfils,0.4327188940092166,0,3.5,0,2,0.6129032258064516,31.0
180642,Wimbledon,20190701,SF,169.0,6-2 4-6 6-3 6-2,Novak Djokovic,Roberto Bautista Agut,0.4307692307692308,0,3.25,0,2,0.5384615384615384,13.0
163909,US Open,20130826,F,201.0,6-2 3-6 6-4 6-1,Rafael Nadal,Novak Djokovic,0.4305194805194805,0,3.5,0,2,0.5909090909090909,22.0
186303,Australian Open,20220117,SF,175.0,6-3 6-2 3-6 6-3,Rafael Nadal,Matteo Berrettini,0.4269230769230769,0,3.25,0,2,0.5,10.0
128953,Roland Garros,20020527,F,150.0,6-1 6-0 4-6 6-3,Albert Costa,Juan Carlos Ferrero,0.42379032258064514,0,4.0,0,2,0.6129032258064516,31.0
170530,Australian Open,20160118,SF,139.0,6-1 6-2 3-6 6-3,Novak Djokovic,Roger Federer,0.42051282051282046,0,3.75,0,2,0.5384615384615384,13.0
125723,Roland Garros,20010528,SF,159.0,7-6(2) 6-4 6-4,Alex Corretja,Sebastien Grosjean,0.418,0,1.6666666666666667,1,0,0.68,25.0
169097,Wimbledon,20150629,SF,,7-6(2) 6-4 6-4,Novak Djokovic,Richard Gasquet,0.41666666666666663,0,1.6666666666666667,1,0,0.6666666666666666,12.0
145630,Australian Open,20070115,F,140.0,7-6(2) 6-4 6-4,Roger Federer,Fernando Gonzalez,0.41363636363636364,0,1.6666666666666667,1,0,0.6363636363636364,11.0
190654,Wimbledon,20230703,SF,167.0,6-3 6-4 7-6(4),Novak Djokovic,Jannik Sinner,0.4116666666666667,0,2.0,1,0,0.8666666666666667,15.0
157223,Wimbledon,20110620,F,148.0,6-4 6-1 1-6 6-3,Novak Djokovic,Rafael Nadal,0.39999999999999997,0,3.75,0,2,0.3333333333333333,12.0
148398,Wimbledon,20080623,SF,103.0,6-3 7-6(3) 6-4,Roger Federer,Marat Safin,0.39642857142857146,0,2.0,1,0,0.7142857142857143,7.0
